date,lecture,easy_problems,medium_problems,hard_problems
2026-03-29,c++,"Next Alphabet|T or T|Round One|Say ""Hello, World!"" With C++|Basic Data Types|Serval vs Monster|The Numbers of Even Pairs|Solve Me First|Input and Output",Counterclockwise Rotation|Iroha and Haiku (ABC Edition)|AtCoder Beginner Contest 111,
2026-04-05,if-else,Product|Good Integer|Square Inequality|Watermelon|Conditional Statements,Expression|Very Very Primitive Game|One out of Three,Calculating Function|Half and Half
2026-04-12,for-while,Team|Wrong Subtraction|Mandelbrot|Bounding,From Hero to Zero|Some Sums|IQ test,Project Euler #1: Multiples of 3 and 5|Coins|Clock and Strings
